Address,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De,0xDFfB1823e24A76e5682e988DF9C4bF53bf3299De
0x3a4ABb0eE1dE2aCcDFE14b80B4DEe78F983b3dcF,5,4
0xC10C99B29Ea251D844894b82f7663239F70E9B77,0,0
0x9E5011617Ed64301Fb8fa9564F50c34D360872a6,0,0
0x4226D6e76C50dB5074b0E3512b21F1a79eA9F360,0,0
0xE47afD5695dFB99ca9F29466a271Fae578b22E22,0,0
0xDa06EfE634A6D52E47bdFeBF55aCbEC6a1159d6B,0,0
0xDeEc86988C66618e574ed1eFF2C5CA5745d2916d,0,0
0x4861c074eaF91FAF914caDFB8AF6f0Fb8208CB11,0,0
0x66F1daEa681Cb6A38e7539c0C3446d95DBcB9ebc,0,0
0xc1C0aE73E89a9ec2136853a7776bCe0181c1c6CB,0,0
0x5B1d9Afcdb997F3CA04D9133Bc7B6419afe723A5,0,0
0x9aabd039fD0bF767Db26293a039998e85Bd31255,0,0
0xC757065aE8cd8163b98382b4A3284B80aedff6CD,2,2
0x48b11b88d6f4f7f19680EFA980C77B2b58C93948,0,0
0xdd4c7f507d86665EFd1c6df75e14e11309285d26,0,0
0xF9Ce34dFCD3cc92804772F3022AF27bCd5E43Ff2,0,0
0x32329fD80bc1b2Fbf5861148590975F0E813bF49,0,0
0x418c46e5dBF8409aFB48682f4eb63B74f85459F7,0,0
0xD5bb7A05cFaFEa56821a4DB0c2881ED4f460A529,0,0
