Address,Balance
0xc1C0aE73E89a9ec2136853a7776bCe0181c1c6CB,1694393267227940171
0xc2C7E949efAA399BaF7fa0dc7faf20fFFAd9d7B2,13681882385171817
0xDa06EfE634A6D52E47bdFeBF55aCbEC6a1159d6B,0
0x9E5011617Ed64301Fb8fa9564F50c34D360872a6,2977970307982669357
0x5B1d9Afcdb997F3CA04D9133Bc7B6419afe723A5,10000000000000000000
0x3a4ABb0eE1dE2aCcDFE14b80B4DEe78F983b3dcF,336692845288137708304
0x78d21ca1e393fEADF4Fda3D90558A601f9411bc5,44663287858746985
0xDeEc86988C66618e574ed1eFF2C5CA5745d2916d,302330142121901015
0x9aabd039fD0bF767Db26293a039998e85Bd31255,0
0x32329fD80bc1b2Fbf5861148590975F0E813bF49,2975490599518012300
0xC757065aE8cd8163b98382b4A3284B80aedff6CD,0
0x66F1daEa681Cb6A38e7539c0C3446d95DBcB9ebc,0
0x4861c074eaF91FAF914caDFB8AF6f0Fb8208CB11,5628093359719691739
0x418c46e5dBF8409aFB48682f4eb63B74f85459F7,49481795834749424353
0xdd4c7f507d86665EFd1c6df75e14e11309285d26,2281117015468799732
